proto_id	path	depth	const_index	raw_len	raw_hex_prefix	decoded
1	0.0	1	0	7	7461625f636861	tab_cha
1	0.0	1	1	5	7461626c65	table
1	0.0	1	2	4	7365746e	setn
1	0.0	1	5	6	745f74797065	t_type
1	0.0	1	6	11	5461726765745f53696465	Target_Side
1	0.0	1	7	11	5461726765745f4d6f7665	Target_Move
1	0.0	1	9	16	5461726765745f617474726962757465	Target_attribute
1	0.0	1	16	5	6261736963	basic
1	0.0	1	17	10	686f7665725f68696e74	hover_hint
1	0.0	1	18	1	30	0
1	0.0	1	19	12	46756e6374696f6e4d61726b	FunctionMark
1	0.0	1	21	12	526562697274685f54696d65	Rebirth_Time
1	0.0	1	22	15	6d756c74695f73656c656374696f6e	multi_selection
1	0.0	1	23	14	46756e6374696f6e42746e506f73	FunctionBtnPos
1	0.0	1	24	10	6d7370645f6261736963	mspd_basic
1	0.0	1	26	9	686972655f6974656d	hire_item
1	0.0	1	27	13	6e65656447616d654c6576656c	needGameLevel
1	0.0	1	28	14	686972655f6e656564636c6f7365	hire_needclose
1	0.0	1	29	11	756e69745f55495f746970	unit_UI_tip
1	0.0	1	30	0		
1	0.0	1	31	13	6869726573686f705f74797065	hireshop_type
1	0.0	1	32	11	557067726164655f736574	Upgrade_set
1	0.0	1	33	10	4275696c645f74797065	Build_type
1	0.0	1	34	9	756e69745f68696e74	unit_hint
1	0.0	1	35	12	46756e6374696f6e4c697374	FunctionList
1	0.0	1	36	11	686972655f70616e6e656c	hire_pannel
1	0.0	1	37	13	686972655f636f6f6c646f776e	hire_cooldown
1	0.0	1	39	11	6368615f41495f43616c6c	cha_AI_Call
1	0.0	1	40	14	686972655f626567696e74696d65	hire_begintime
1	0.0	1	42	18	7669705f686972655f626567696e74696d65	vip_hire_begintime
1	0.0	1	43	10	726f6c655f6c6576656c	role_level
1	0.0	1	44	16	6368615f76696577617265615f646179	cha_viewarea_day
1	0.0	1	45	8	6d696e5f6d737064	min_mspd
1	0.0	1	47	8	6368615f74797065	cha_type
1	0.0	1	48	11	4c756d6265725f6e656564	Lumber_need
1	0.0	1	49	9	686972655f756e6974	hire_unit
1	0.0	1	50	15	6368615f41495f526573706f6e7365	cha_AI_Response
1	0.0	1	51	10	69665f47465f556e6974	if_GF_Unit
1	0.0	1	52	11	557074696d655f636f7374	Uptime_cost
1	0.0	1	53	18	6368615f76696577617265615f6e69676874	cha_viewarea_night
1	0.0	1	54	7	4275696c645f52	Build_R
1	0.0	1	56	20	5461726765745f5065726d69745465727261696e	Target_PermitTerrain
1	0.0	1	57	9	4368615f736f756e64	Cha_sound
1	0.0	1	58	13	556e69745f5265717569726564	Unit_Required
1	0.0	1	59	9	476f6c645f6e656564	Gold_need
1	0.0	1	60	7	4275696c645f42	Build_B
1	0.0	1	61	15	64656174685f6c6f73745f74797065	death_lost_type
1	0.0	1	62	15	64656174685f6c6f73745f6974656d	death_lost_item
1	0.0	1	63	10	69665f6d616368696e65	if_machine
1	0.0	1	64	7	4275696c645f41	Build_A
1	0.0	1	65	20	64656174685f6c6f73745f6974656d5f50726f62	death_lost_item_Prob
1	0.0	1	66	7	4275696c645f47	Build_G
1	0.0	1	67	4	6e616d65	name
1	0.0	1	68	2	cede	无
1	0.0	1	69	10	6275696c645f756e6974	build_unit
1	0.0	1	70	9	4275696c645f736574	Build_set
1	0.0	1	71	13	6368615f41495f6d616e6e6572	cha_AI_manner
1	0.0	1	72	14	6368615f736c6565706861626974	cha_sleephabit
1	0.0	1	73	11	6d6f64656c5f7363616c65	model_scale
1	0.0	1	74	10	4368615f726164697573	Cha_radius
1	0.0	1	75	11	686972655f616d6f756e74	hire_amount
1	0.0	1	76	13	68697265756e69745f74797065	hireunit_type
1	0.0	1	77	12	6368615f507574426c6f636b	cha_PutBlock
1	0.0	1	79	6	636f6d626174	combat
1	0.0	1	80	18	4368616e6765576974684d61704c6576656c	ChangeWithMapLevel
1	0.0	1	81	11	4368615f41746b5f6f626a	Cha_Atk_obj
1	0.0	1	86	8	6167695f6c767570	agi_lvup
1	0.0	1	87	8	6465665f74797065	def_type
1	0.0	1	88	17	4368615f4c696e6b4566665f4d6f646531	Cha_LinkEff_Mode1
1	0.0	1	89	18	4368615f4869744566665f595f4d6f646531	Cha_HitEff_Y_Mode1
1	0.0	1	90	9	4d7868705f6c767570	Mxhp_lvup
1	0.0	1	92	21	4368615f4869744566665f44656c795f4d6f646531	Cha_HitEff_Dely_Mode1
1	0.0	1	93	8	61746b5f74797065	atk_type
